# number|PDF page|study key|review section suffix|source stem|A|B|C|D
27|7|A|fatty-acid-synthesis|For the synthesis of palmitic acid, all of the following are required, except:|Carnitine|Acetyl-CoA|ATP|NADPH+H
28|8|B|ketones|An enzyme that is essential for both ketone body synthesis and cholesterol synthesis is:|Acetyl CoA carboxylase|HMG CoA synthase|HMG CoA reductase|HMG CoA lyase
29|8|C|lipoprotein-map|Type I hyperlipoproteinemia is characterized by:|Elevated LDL levels|Elevated cholesterol levels|Elevated chylomicron levels|Elevated HDL levels
30|8|C|beta-oxidation|Net ATP generation on complete oxidation of stearic acid is?|129|131|146|148
31|8|D|lipoprotein-map|Which of the following apolipoproteins activates LCAT?|C-II|A-II|B-48|A-I
32|8|B|beta-oxidation|Which of the following is the rate-limiting step of fatty acid oxidation and is also inhibited by malonyl CoA?|Thiokinase|Carnitine palmitoyltransferase I|Acyl CoA dehydrogenase|Thiolase
33|9|A|lipoprotein-map|Which one of the following enzymes is involved in the conversion of IDL to LDL?|Hepatic lipase|Lipoprotein lipase|Hormone-sensitive lipase|Pancreatic lipase
34|9|A|nucleotides|Lesch-Nyhan syndrome, which is an X-linked recessive disorder, is caused by a deficiency of which enzyme?|Hypoxanthine-guanine phosphoribosyltransferase|Adenosine deaminase|Xanthine oxidase|Adenine phosphoribosyltransferase
35|9|C|heme|Porphyria cutanea tarda is caused by a deficiency in which one of the following enzymes?|ALA synthase|Ferrochelatase|Uroporphyrinogen decarboxylase|Coproporphyrinogen oxidase
36|9|B|oxphos|Where are FAD and cytochrome aa3 located in the electron transport chain?|I and III|II and IV|II and III|III and IV
