# number|PDF page|study key|review section suffix|source stem|A|B|C|D
14|3|B|fatty-acid-synthesis|What is the primary source of cytosolic acetyl coenzyme A (acetyl CoA) for fatty acid synthesis in the liver?|Glucose 1-phosphate|Pyruvate|Glycerol 3-phosphate|Propionyl CoA
15|3|B|insulin-glucagon|Which of the following is a result of decreased insulin levels during fasting?|Increased glucose uptake by tissues|Increased fatty acid oxidation|Increased glycogen synthesis|Increased amino acid uptake by tissues
16|3|D|insulin-glucagon|Glucagon stimulates which process in the liver?|Glycogen synthesis|Glucose uptake|Lipogenesis|Glycogenolysis
17|4|D|cholesterol|All the following molecules are present in the path of cholesterol synthesis, except:|Geranyl|Farnesyl|Lanosterol|Dolichol
18|4|A|fatty-acid-synthesis|What is the role of citrate in fatty acid synthesis in the cell?|Transfer of acetyl group from mitochondria to cytosol|Transfer of CO2 from mitochondria to cytosol|Transfer of reducing equivalents from mitochondria to cytosol|Transfer of acetyl group from cytosol to mitochondria
19|4|A|beta-oxidation|How many ATP or its equivalent is produced from the aerobic and complete catabolism of oleic acid (delta9 18:1) (NADH=3, FADH=2)?|144|146|148|151
20|4|B|micelles-chylomicrons|All the following factors are involved in chylomicron metabolism, except:|LPL|Apo B100|HDL-C|Apo CII
21|4|A|fatty-acid-synthesis|For the synthesis of palmitic acid, all of the following are needed, except:|Carnitine|Acetyl-CoA|ATP|NADPH
22|4|A|beta-oxidation|From beta oxidation of lauric acid in mitochondria, all the following compounds are produced, except:|Malonyl CoA|Acetyl CoA|FADH2|NADH
23|4|A|lipoprotein-map|In familial hypercholesterolemia, there is a mutation in which one of the following genes?|LDL receptor|Apo E|LPL|Apo B100
24|4|B|oxphos|Which of the following complexes in the electron transport chain is not involved in pumping protons across the mitochondrial membrane?|Complex I|Complex II|Complex III|Complex IV
25|5|D|oxphos|Which compound inhibits ATP synthase by directly binding to it and preventing proton translocation?|Rotenone|Antimycin A|Cyanide|Oligomycin
26|5|C|oxphos|Which of the following compounds uncouples oxidative phosphorylation by dissipating the proton gradient across the mitochondrial membrane?|Rotenone|Antimycin A|2,4-Dinitrophenol (DNP)|Cyanide
27|5|A|oxphos|What is the main purpose of the proton gradient established by the electron transport chain?|To provide energy for ATP synthase to synthesize ATP|To directly convert ADP to ATP|To transport oxygen into the mitochondria|To reduce NAD+ to NADH
28|5|B|beta-oxidation|What is the final product of beta-oxidation of odd-chain fatty acids?|Acetyl-CoA|Propionyl-CoA|Butyryl-CoA|Malonyl-CoA
29|5|C|ketones|All statements regarding 3-OH-3 methyl glutaryl CoA are true except:|It is formed in the cytoplasm|Required in ketogenesis|Involved in synthesis of fatty acid|An intermediate in cholesterol biosynthesis
30|5|B|beta-oxidation|Which of the following is the rate-limiting step of fatty acid oxidation and is also inhibited by malonyl CoA?|Thiolase|Carnitine palmitoyltransferase I|Acyl CoA dehydrogenase|Acyl CoA carboxylase
31|5|C|lipoprotein-map|Which type of hyperlipidemia is associated with defects in ApoE protein variants?|Type 1|Type 2b|Type 3|Type 4
32|5|B|beta-oxidation|Adipose tissue lacks:|Hormone-sensitive lipase|Glycerol kinase|cAMP-dependent protein kinase|Beta-oxidation enzymes
33|6|D|nucleotides|Which of the following is not true regarding ribonucleotide reductase?|It uses thioredoxin as a coenzyme|Converts NDPs to dNDPs|It is inhibited in ADA deficiency|Plays a major role in dTMP synthesis
34|6|A|special-products|... donates its phosphate to ADP to yield ATP during muscle exertion.|Creatine phosphate|Creatine kinase|Guanidinoacetate|Arginine glycine amidinotransferase
35|6|B|nucleotides|Tophus is a clinical sign of which condition?|Hypouricemia|Hyperuricemia|Hyperbilirubinemia|Pre-hepatic jaundice
36|6|A|heme|Jaundice is caused by all of the following, except for ...?|High amount of fatty acid|Impaired conjugation of bilirubin|Obstruction of biliary tree|Excess RBC lysis
37|6|D|renal-npn|Which of the following is incorrectly paired regarding the disease and its indicator?|Creatine => muscle disease|Creatinine => kidney disease|Bilirubin => jaundice|Urea => uricemia
38|6|A|nucleotides|In Lesch-Nyhan syndrome:|There is a defect or lack in the HGPRT enzyme|There is an excess in the HGPRT enzyme|HGPRT enzyme is not involved in the disease|None of the above
39|7|C|nucleotides|According to the biosynthetic origin of purine ring, nitrogen atom N1 originates from?|Glutamine|Glycine|Aspartic acid|Formate
40|7|B|protein-nitrogen|What is a primary source of non-protein nitrogen (NPN) in ruminant diets?|Cellulose|Urea|Starch|Glucose
41|7|A|special-products|Histamine, a chemical mediator of allergies and anaphylaxis, is synthesized from amino acid histidine by which of the following process?|Decarboxylation|Demethylation|Hydrogenation|Oxygenation
42|7|C|urea|Which of the following statements about the urea cycle is correct?|Argininosuccinate is lysed to urea and ornithine in the urea cycle.|Carbamoyl phosphate supplies both of the nitrogen atoms of urea in the urea cycle.|Arginine is hydrolysed to urea and ornithine in the urea cycle.|The formation of urea from the urea cycle yields energy.
43|7|D|protein-nitrogen|Which of the following statements about transamination reactions is correct?|Transamination reactions involve ATP hydrolysis.|Transamination reactions are irreversible.|Transamination reactions require NAD+ or NADP+.|Transamination reactions require pyridoxal-5'-phosphate (PLP).
44|8|A|aa-carbon|Which of the following amino acids cannot provide a substrate for gluconeogenesis?|Leucine|Tryptophan|Histidine|Isoleucine
45|8|D|protein-nitrogen|Which of the following transport system is responsible for transferring dipeptides from the intestinal lumen to enterocytes?|K+-linked secondary transport|Facilitated diffusion|Na+-linked secondary transport|H+-linked transport system
46|8|A|aa-disorders|Which of the following enzyme is deficient in alkaptonuria?|Homogentisate dioxygenase|p-Hydroxyphenylpyruvate dioxygenase|Phenylalanine hydroxylase|Tyrosinase
47|8|D|protein-nitrogen|Which of the following amino acids are involved in the transfer of ammonia from tissues to the liver?|Glutamate, glutamine|Aspartate, alanine|Aspartate, glutamate|Alanine, glutamine
48|8|D|aa-carbon|Identify the amino acid that participates in methyl group transfer:|Lysine|Serine|Valine|Methionine
49|8|B|clinical-enzymes|Which of the following is the only plasma enzyme normally found in urine?|Acid phosphatase|Amylase|Nucleotidase|Aminotransferase
50|8|C|liver-tests|Which of the following are the most important cause of increased alkaline phosphatase activity in serum?|Liver disease, heart attack|Heart attack, prostate disease|Liver disease, bone disease|Bone disease, prostate disease
51|8|C|clinical-enzymes|Serum nonfunctional enzymes are all, except:|Alkaline phosphatase|Acid phosphatase|Lipoprotein lipase|Gamma glutamyltranspeptidase
52|9|C|clinical-enzymes|Which enzyme in the body is measured to diagnose rhabdomyolysis?|Lipase|Nucleotidase|Creatine kinase|Glutamyltransferase
